W/B,MK ,B,SP ,CS,MOE,Shrinkage
0.48,0,50,2,39.31,5.979,7.5
0.48,0,50,2,37.08,5.579,3.5
0.48,0,50,2,37.76,5.379,5.5
0.48,0,50,2,32.06,5.082,4
0.48,0,50,2,32.84,5.744,5
0.48,0,30,2,44.61,6.458,7.5
0.48,0,30,2,33.63,6.054,4
0.48,0,30,2,41.1,6.25,3.5
0.48,0,30,2,51.07,6.641,9
0.48,0,30,2,47.17,6.391,4.5
0.48,5,50,2,54.65,7.067,7.5
0.48,5,50,2,53.25,7.066,8
0.48,5,50,2,57.55,7.762,5
0.48,5,50,2,45.96,7.31,6
0.48,3,30,2,40.51,6.12,5
0.48,3,30,2,58.94,6.827,5.5
0.48,3,30,2,46.2,6.649,5
0.48,3,30,2,38.56,5.397,7
0.48,3,30,2,34.9,5.833,4.5
1.2,0,50,0,15.41,2.716,19
1.2,0,50,0,18.59,2.737,16.5
1.2,0,50,0,15.07,2.845,15
1.2,0,50,0,15.07,3.003,18
1.2,0,50,0,21.16,2.733,19
1.2,0,30,0,24.54,3.259,17.5
1.2,0,30,0,23.01,3.131,16.5
1.2,0,30,0,21.61,2.701,16.5
1.2,0,30,0,22.92,2.851,16.5
1.2,0,30,0,22.56,3.075,15.5
1.2,5,50,0,16.82,2.751,7.5
1.2,5,50,0,18.01,2.98,11
1.2,5,50,0,19.08,3.355,8.5
1.2,5,50,0,22.55,3.47,9
1.2,3,30,0,15.41,2.775,10
1.2,3,30,0,18.59,3.379,10
1.2,3,30,0,15.07,1.995,7.5
1.2,3,30,0,15.07,1.974,7.5
1.2,3,30,0,21.16,3.161,7.5
0.4,0,50,2,55.35,27.442,1
0.4,0,50,2,62.25,24.325,1
0.4,0,50,2,41.04,24.875,1
0.4,0,50,2,58,27.754,0.5
0.4,0,50,2,50.35,27.249,0.5
0.4,0,50,2,46.48,26.476,1.5
0.4,0,50,2,61.49,28.976,1
0.4,0,50,2,62.25,24.325,1
0.4,0,30,2,62.35,25.69,3.5
0.4,0,30,2,66.72,25.765,3
0.4,0,30,2,57.17,29.371,3.3
0.4,0,30,2,60.79,25.679,3
0.4,0,30,2,50.36,25.65,3
0.4,0,30,2,64.64,27.577,2.5
0.4,0,30,2,57.17,29.371,3.3
0.4,0,30,2,50.66,28.145,2.5
0.4,5,50,2,49.36,24.745,1
0.4,5,50,2,48.3,24.16,0.3
0.4,5,50,2,48.86,28.668,1
0.4,5,50,2,49.01,26.747,1
0.4,5,50,2,41.86,23.543,0
0.4,5,50,2,39.87,28.434,0
0.4,5,50,2,48.3,24.16,0.3
0.4,5,50,2,59.82,26.746,2.5
0.4,3,30,2,62.01,28.182,0.5
0.4,3,30,2,59.44,28.644,1
0.4,3,30,2,59.44,28.644,1
0.4,3,30,2,58.03,28.36,1
0.4,3,30,2,60.87,29.478,1.5
0.4,3,30,2,46.26,28.36,2.5
0.4,3,30,2,63.05,29.625,1
0.4,3,30,2,51.67,26.791,1.5
0.4,10,50,2,76.9,26.513,1.5
0.4,10,50,2,56.03,23.159,1.3
0.4,10,50,2,68.21,24.276,1.5
0.4,10,50,2,72.48,25.168,0.5
0.4,10,50,2,68.86,26.876,2
0.4,10,50,2,56.03,23.159,1.3
0.4,10,50,2,71.26,23.733,1.5
0.4,10,50,2,71.57,27.914,1
0.4,6,30,2,64.65,25.695,1.8
0.4,6,30,2,72.68,26.582,2.5
0.4,6,30,2,74.34,26.781,1
0.4,6,30,2,67.92,25.12,1
0.4,6,30,2,75.77,25.578,3
0.4,6,30,2,70.94,26.992,0.5
0.4,6,30,2,64.65,25.695,1.8
0.4,6,30,2,60.81,26.798,2
0.7,0,50,0,27.87,15.884,10
0.7,0,50,0,22.53,12.785,11
0.7,0,50,0,25.16,16.654,10
0.7,0,50,0,26.68,14.166,10
0.7,0,50,0,25.18,13.71,9.5
0.7,0,50,0,28.75,15.392,13
0.7,0,50,0,26.68,14.166,10
0.7,0,30,0,26.72,17.402,8
0.7,0,30,0,28.63,20.87,8
0.7,0,30,0,23.53,21.957,8
0.7,0,30,0,26.07,14.697,8.5
0.7,0,30,0,28.83,16.694,8.5
0.7,0,30,0,26.44,15.622,8
0.7,0,30,0,28.06,18.379,8.5
0.7,0,30,0,33.32,15.28,8.5
0.7,5,50,0,35.6,15.233,3
0.7,5,50,0,31.48,13.865,4.5
0.7,5,50,0,31.61,14.062,4.5
0.7,5,50,0,32.59,13.197,2.3
0.7,5,50,0,30.51,15.296,2
0.7,5,50,0,32.99,12.73,3
0.7,5,50,0,32.59,13.197,2.3
0.7,5,50,0,32.71,13.913,2.5
0.7,3,30,0,31.53,16.269,5
0.7,3,30,0,30.69,15.24,3
0.7,3,30,0,31,14.834,3.5
0.7,3,30,0,29.55,14.138,3
0.7,3,30,0,29.43,16.757,2.5
0.7,3,30,0,33.11,15.356,5
0.7,3,30,0,30.44,15.064,2.5
0.7,3,30,0,35.51,14.515,2.5
0.7,10,50,0,40.78,12.96,3
0.7,10,50,0,44.13,13.138,3
0.7,10,50,0,38.48,12.989,3
0.7,10,50,0,38.327,14.1785,3
0.7,10,50,0,38.33,14.179,3
0.7,10,50,0,38.28,13.626,3
0.7,10,50,0,39.71,13.64,3
0.7,10,50,0,41.75,14.144,2.5
0.7,6,30,0,35.68,15.308,1.5
0.7,6,30,0,34.94,16.008,1
0.7,6,30,0,33.27,16.529,1.5
0.7,6,30,0,35.82,16.929,0.5
0.7,6,30,0,39.31,16.124,1
0.7,6,30,0,38.16,15.525,3
0.7,6,30,0,33.79,17.725,1
0.7,6,30,0,35.49,20.365,1.5
1,0,50,0,12.21,11.08,17.5
1,0,50,0,15.41,12.005,21.5
1,0,50,0,17.39,15.598,21.5
1,0,50,0,16.39,10.943,24
1,0,50,0,15.05,12.352,26
1,0,30,0,17.21,18.732,6
1,0,30,0,15.52,14.212,18
1,0,30,0,16.56,14.149,18
1,0,30,0,15.28,12.74,18
1,5,50,0,17.32,15.575,13.5
1,5,50,0,16.03,13.224,13.5
1,5,50,0,18.64,9.836,13.5
1,5,50,0,17.2,11.299,15.5
1,5,50,0,14.37,10.686,11
1,5,50,0,14.67,10.341,11.5
1,5,50,0,14.74,11.803,13
1,3,30,0,16.13,12.304,10.5
1,3,30,0,20.84,12.832,11.5
1,3,30,0,14.28,10.094,9
1,3,30,0,14.16,10.735,10.5
1,3,30,0,14.42,10.125,9
1,3,30,0,15.6,11.474,9
1,3,30,0,15.74,11.834,10.5
1,10,50,0,19,10.029,3.5
1,10,50,0,20.26,9.171,5.5
1,10,50,0,19.6,10.271,5
1,10,50,0,16.73,10.539,10
1,10,50,0,18.38,9.072,5.5
1,10,50,0,19.54,10.013,5.5
1,10,50,0,17.85,9.515,4
1,10,50,0,18.82,9.079,5
1,6,30,0,16.67,12.034,4.5
1,6,30,0,20.24,8.509,7.5
1,6,30,0,17.89,9.197,7
1,6,30,0,14.86,9.972,5
1,6,30,0,18.16,9.338,5
1,6,30,0,17.95,10.852,6.5
1,6,30,0,14.92,11.56,5
1,6,30,0,14.89,11.57,5
